country,neighbourhood,count
Brazil,North Riverdale,0
Brazil,North St. James Town,20
Brazil,O'Connor-Parkview,0
Brazil,Oakridge,0
Brazil,Oakwood Village,25
Brazil,Old East York,0
Brazil,Palmerston-Little Italy,10
Brazil,Parkwoods-Donalda,0
Brazil,Pelmo Park-Humberlea,10
Brazil,Playter Estates-Danforth,10
Brazil,Pleasant View,0
Brazil,Princess-Rosethorn,0
Brazil,Regent Park,0
Brazil,Rexdale-Kipling,0
Brazil,Rockcliffe-Smythe,85
Brazil,Roncesvalles,0
Brazil,Rosedale-Moore Park,25
Brazil,Rouge,0
Brazil,Runnymede-Bloor West Village,0
Brazil,Rustic,0
Brazil,Scarborough Village,0
Brazil,South Parkdale,30
Brazil,South Riverdale,20
Brazil,St.Andrew-Windfields,0
Brazil,Steeles,0
Brazil,Stonegate-Queensway,20
Brazil,Tam O'Shanter-Sullivan,0
Brazil,Taylor-Massey,25
Brazil,The Beaches,0
Brazil,Thistletown-Beaumond Heights,0
Brazil,Thorncliffe Park,0
Brazil,Trinity-Bellwoods,10
Brazil,University,0
Brazil,Victoria Village,0
Brazil,Waterfront Communities-The Island,65
Brazil,West Hill,10
Brazil,West Humber-Clairville,0
Brazil,Westminster-Branson,0
Brazil,Weston,45
Brazil,Weston-Pelham Park,10
Brazil,Wexford/Maryvale,10
Brazil,Willowdale East,40
Brazil,Willowdale West,20
Brazil,Willowridge-Martingrove-Richview,55
Brazil,Woburn,0
Brazil,Woodbine Corridor,0
Brazil,Woodbine-Lumsden,0
Brazil,Wychwood,25
Brazil,Yonge-Eglinton,20
Brazil,Yonge-St.Clair,0
Brazil,York University Heights,0
Brazil,Yorkdale-Glen Park,30
Cameroon,Agincourt North,0
Cameroon,Agincourt South-Malvern West,0
Cameroon,Alderwood,0
Cameroon,Annex,0
Cameroon,Banbury-Don Mills,10
Cameroon,Bathurst Manor,0
Cameroon,Bay Street Corridor,0
Cameroon,Bayview Village,30
Cameroon,Bayview Woods-Steeles,0
Cameroon,Bedford Park-Nortown,0
Cameroon,Beechborough-Greenbrook,0
Cameroon,Bendale,0
Cameroon,Birchcliffe-Cliffside,0
Cameroon,Black Creek,0
Cameroon,Blake-Jones,0
Cameroon,Briar Hill-Belgravia,0
Cameroon,Bridle Path-Sunnybrook-York Mills,0
Cameroon,Broadview North,0
Cameroon,Brookhaven-Amesbury,25
Cameroon,Cabbagetown-South St. James Town,0
Cameroon,Caledonia-Fairbank,0
Cameroon,Casa Loma,0
Cameroon,Centennial Scarborough,0
Cameroon,Church-Yonge Corridor,0
Cameroon,City of Toronto,555
Cameroon,Clairlea-Birchmount,0
Cameroon,Clanton Park,0
Cameroon,Cliffcrest,0
Cameroon,Corso Italia-Davenport,10
Cameroon,Danforth,0
Cameroon,Danforth East York,0
Cameroon,Don Valley Village,10
Cameroon,Dorset Park,0
Cameroon,Dovercourt-Wallace Emerson-Junction,0
Cameroon,Downsview-Roding-CFB,10
Cameroon,Dufferin Grove,0
Cameroon,East End-Danforth,0
Cameroon,Edenbridge-Humber Valley,0
Cameroon,Eglinton East,40
Cameroon,Elms-Old Rexdale,0
Cameroon,Englemount-Lawrence,0
Cameroon,Eringate-Centennial-West Deane,0
Cameroon,Etobicoke West Mall,0
Cameroon,Flemingdon Park,0
Cameroon,Forest Hill North,0
Cameroon,Forest Hill South,10
Cameroon,Glenfield-Jane Heights,10
Cameroon,Greenwood-Coxwell,10
Cameroon,Guildwood,0
Cameroon,Henry Farm,0
Cameroon,High Park North,0
Cameroon,High Park-Swansea,0
Cameroon,Highland Creek,0
Cameroon,Hillcrest Village,0
Cameroon,Humber Heights-Westmount,10
Cameroon,Humber Summit,0
Cameroon,Humbermede,0
Cameroon,Humewood-Cedarvale,0
Cameroon,Ionview,0
Cameroon,Islington-City Centre West,45
Cameroon,Junction Area,0
Cameroon,Keelesdale-Eglinton West,0
Cameroon,Kennedy Park,0
Cameroon,Kensington-Chinatown,0
Cameroon,Kingsview Village-The Westway,0
Cameroon,Kingsway South,0
Cameroon,L'Amoreaux,10
Cameroon,Lambton Baby Point,0
Cameroon,Lansing-Westgate,0
Cameroon,Lawrence Park North,0
Cameroon,Lawrence Park South,0
Cameroon,Leaside-Bennington,0
Cameroon,Little Portugal,0
Cameroon,Long Branch,10
Cameroon,Malvern,0
Cameroon,Maple Leaf,0
Cameroon,Markland Wood,0
Cameroon,Milliken,0
Cameroon,Mimico (includes Humber Bay Shores),0
Cameroon,Morningside,0
Cameroon,Moss Park,0
Cameroon,Mount Dennis,0
Cameroon,Mount Olive-Silverstone-Jamestown,30
Cameroon,Mount Pleasant East,0
Cameroon,Mount Pleasant West,0
Cameroon,New Toronto,0
Cameroon,Newtonbrook East,0
Cameroon,Newtonbrook West,10
Cameroon,Niagara,0
Cameroon,North Riverdale,0
Cameroon,North St. James Town,10
Cameroon,O'Connor-Parkview,20
Cameroon,Oakridge,0
Cameroon,Oakwood Village,0
Cameroon,Old East York,0
Cameroon,Palmerston-Little Italy,0
Cameroon,Parkwoods-Donalda,15
Cameroon,Pelmo Park-Humberlea,0
Cameroon,Playter Estates-Danforth,0
Cameroon,Pleasant View,40
Cameroon,Princess-Rosethorn,0
Cameroon,Regent Park,0
Cameroon,Rexdale-Kipling,10
Cameroon,Rockcliffe-Smythe,0
Cameroon,Roncesvalles,0
Cameroon,Rosedale-Moore Park,0
Cameroon,Rouge,0
Cameroon,Runnymede-Bloor West Village,0
Cameroon,Rustic,0
Cameroon,Scarborough Village,10
Cameroon,South Parkdale,0
Cameroon,South Riverdale,0
Cameroon,St.Andrew-Windfields,0
Cameroon,Steeles,0
