neighbourhood,Aboriginal languages,Afrikaans,Afro-Asiatic languages,Akan (Twi),Albanian,Algonquian languages,American Sign Language,Amharic,Arabic,Armenian,Assyrian Neo-Aramaic,Athabaskan languages,Austro-Asiatic languages,"Austro-Asiatic languages, n.i.e",Austronesian languages,Azerbaijani,Babine (Wetsuwet'en),Baltic languages,Balto-Slavic languages,Bamanankan,Beaver,Belarusan,Bengali,Berber languages,Bikol,Bilen,Blackfoot,Bosnian,Bulgarian,Burmese,Cantonese,Carrier,Catalan,Cayuga,Cebuano,Celtic languages,Chaldean Neo-Aramaic,Chilcotin,Chinese languages,Comox,Cree-Montagnais languages,Creole languages,Croatian,Cushitic languages,Czech,Dakota,Danish,Dene,Dinka,Dogrib (Tlicho),Dravidian languages,Dutch,Eastern Algonquian languages,Edo,English,English and French,English and non-official language,"English, French and non-official language",Estonian,Ewe,Fijian,Finnish,French,French and non-official language,Frisian,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Germanic languages,Gitxsan (Gitksan),Greek,Gujarati,Gwich'in,Haida,Haisla,Haitian Creole,Hakka,Halkomelem,Harari,Hebrew,Heiltsuk,Hiligaynon,Hindi,Hmong-Mien languages,Hungarian,Icelandic,Igbo,Ilocano,Indo-Aryan languages,Indo-European languages,Indo-Iranian languages,Inuinnaqtun (Inuvialuktun),Inuit languages,Inuktitut,Iranian languages,Iroquoian languages,Italian,Italic (Romance) languages,Japanese,Kabyle,Kannada,Karenic languages,Kartvelian languages,Kashmiri,Kaska (Nahani),Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Kutenai,Kwakiutl (Kwak'wala),Lao,Latvian,Lillooet,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Michif,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Mohawk,Mongolian,Mongolic languages,Mother tongue for the total population excluding institutional residents,Multiple responses,Nepali,Niger-Congo languages,Nilo-Saharan languages,Nisga'a,Non-Aboriginal languages,Non-official languages,North Slavey (Hare),Northern Athabaskan languages,Northern Tutchone,Norwegian,Nuu-chah-nulth (Nootka),Official languages,Ojibway-Potawatomi languages,Okanagan,Oneida,Oriya (Odia),Oromo,"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian (Farsi),Polish,Portuguese,Punjabi (Panjabi),Quebec Sign Language,Romanian,Rundi (Kirundi),Russian,Salish languages,Sarsi (Sarcee),Scottish Gaelic,Sekani,Semitic languages,Serbian,Serbo-Croatian,Shona,Shuswap (Secwepemctsin),Sign languages,"Sign languages, n.i.e",Sindhi,Single responses,Sinhala (Sinhalese),Sino-Tibetan languages,Siouan languages,Slavey-Hare languages,Slavic languages,Slovak,Slovene (Slovenian),Somali,South Slavey,Southern Tutchone,Spanish,Squamish,Stoney,Straits,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Tahltan,Tahltan languages,Tai-Kadai languages,"Tai-Kadai languages, n.i.e",Tamil,Telugu,Thai,Thompson (Ntlakapamux),Tibetan,Tibeto-Burman languages,Tigrigna,Tlingit,Tsimshian,Tsimshian languages,Turkic languages,Turkish,Tutchone languages,Ukrainian,Uralic languages,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Wakashan languages,Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
High Park-Swansea,0.0,5.0,200.0,5.0,35.0,0.0,5.0,25.0,120.0,20.0,0.0,0.0,95.0,0.0,175.0,0.0,0.0,220.0,3080.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,15.0,35.0,0.0,215.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,455.0,0.0,0.0,5.0,155.0,25.0,65.0,0.0,25.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,15700.0,95.0,405.0,15.0,65.0,5.0,0.0,15.0,500.0,25.0,0.0,0.0,0.0,0.0,5.0,320.0,410.0,0.0,125.0,25.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,15.0,0.0,0.0,40.0,0.0,115.0,5.0,0.0,15.0,215.0,5240.0,340.0,0.0,0.0,0.0,135.0,0.0,265.0,1210.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,140.0,35.0,0.0,0.0,0.0,25.0,195.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,23455.0,535.0,0.0,35.0,0.0,0.0,6715.0,6715.0,0.0,0.0,0.0,5.0,0.0,16205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1010.0,295.0,20.0,0.0,110.0,0.0,390.0,0.0,0.0,0.0,0.0,175.0,455.0,45.0,0.0,0.0,5.0,5.0,10.0,22920.0,10.0,475.0,0.0,0.0,2865.0,55.0,35.0,20.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,10.0,130.0,0.0,0.0,15.0,0.0,10.0,10.0,5.0,0.0,10.0,5.0,15.0,0.0,0.0,0.0,25.0,30.0,0.0,560.0,175.0,50.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
Highland Creek,0.0,0.0,135.0,0.0,15.0,0.0,0.0,20.0,80.0,20.0,5.0,0.0,65.0,0.0,480.0,0.0,0.0,5.0,325.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,750.0,0.0,0.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1450.0,10.0,0.0,0.0,6665.0,30.0,455.0,15.0,10.0,0.0,0.0,0.0,80.0,15.0,0.0,0.0,0.0,0.0,0.0,60.0,75.0,0.0,120.0,125.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,10.0,110.0,0.0,30.0,0.0,0.0,20.0,1045.0,2170.0,1195.0,0.0,0.0,0.0,130.0,0.0,255.0,415.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,170.0,0.0,5.0,120.0,0.0,300.0,15.0,0.0,0.0,20.0,0.0,0.0,5.0,12475.0,515.0,5.0,35.0,0.0,0.0,5225.0,5220.0,0.0,0.0,0.0,0.0,0.0,6745.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,95.0,80.0,60.0,195.0,0.0,25.0,0.0,15.0,0.0,0.0,0.0,0.0,125.0,15.0,10.0,10.0,0.0,5.0,0.0,15.0,11965.0,65.0,755.0,0.0,0.0,325.0,0.0,5.0,10.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,5.0,0.0,1315.0,10.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,45.0,280.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0
Hillcrest Village,0.0,0.0,250.0,25.0,40.0,0.0,0.0,0.0,150.0,95.0,0.0,0.0,35.0,0.0,200.0,5.0,0.0,15.0,435.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2810.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,7255.0,0.0,0.0,5.0,10.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,160.0,20.0,0.0,0.0,4870.0,25.0,505.0,20.0,20.0,0.0,0.0,15.0,130.0,15.0,0.0,0.0,0.0,0.0,0.0,110.0,180.0,0.0,95.0,135.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,20.0,0.0,5.0,100.0,0.0,100.0,0.0,5.0,10.0,600.0,2635.0,1235.0,0.0,0.0,0.0,635.0,0.0,40.0,540.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,470.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,0.0,25.0,15.0,5.0,4000.0,30.0,0.0,10.0,120.0,0.0,0.0,0.0,16920.0,580.0,10.0,35.0,0.0,0.0,11340.0,11355.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,60.0,40.0,55.0,0.0,250.0,0.0,200.0,0.0,0.0,0.0,0.0,185.0,70.0,5.0,5.0,0.0,0.0,5.0,30.0,16345.0,55.0,7265.0,0.0,0.0,425.0,20.0,5.0,55.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,10.0,150.0,0.0,0.0,5.0,0.0,130.0,15.0,5.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,55.0,45.0,0.0,20.0,130.0,135.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0
Humber Heights-Westmount,5.0,0.0,335.0,55.0,150.0,0.0,0.0,30.0,60.0,15.0,0.0,0.0,50.0,0.0,105.0,0.0,0.0,35.0,1710.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,5.0,125.0,185.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,4710.0,25.0,315.0,5.0,5.0,0.0,0.0,0.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,100.0,105.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,0.0,80.0,0.0,0.0,0.0,160.0,4340.0,205.0,0.0,0.0,0.0,50.0,0.0,1045.0,2105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,25.0,15.0,0.0,0.0,10.0,30.0,35.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10365.0,355.0,5.0,90.0,0.0,0.0,5230.0,5230.0,0.0,0.0,0.0,0.0,0.0,4780.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,35.0,330.0,480.0,40.0,0.0,85.0,0.0,255.0,0.0,0.0,0.0,0.0,150.0,80.0,10.0,0.0,0.0,5.0,0.0,10.0,10015.0,0.0,70.0,0.0,0.0,1675.0,35.0,15.0,180.0,0.0,0.0,485.0,0.0,0.0,0.0,15.0,0.0,90.0,0.0,0.0,5.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,20.0,0.0,740.0,90.0,55.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humber Summit,0.0,0.0,500.0,85.0,0.0,0.0,5.0,10.0,180.0,5.0,120.0,0.0,350.0,0.0,185.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,0.0,0.0,0.0,5.0,0.0,105.0,0.0,100.0,0.0,0.0,5.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,10.0,4580.0,20.0,580.0,10.0,0.0,0.0,0.0,5.0,35.0,10.0,0.0,0.0,5.0,0.0,0.0,45.0,50.0,0.0,35.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,20.0,0.0,10.0,45.0,2615.0,5620.0,2700.0,0.0,0.0,0.0,85.0,0.0,1895.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12415.0,615.0,10.0,135.0,0.0,0.0,7175.0,7175.0,0.0,0.0,0.0,0.0,0.0,4620.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,80.0,35.0,130.0,975.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,435.0,10.0,0.0,10.0,0.0,5.0,0.0,0.0,11795.0,5.0,110.0,0.0,0.0,90.0,0.0,5.0,55.0,0.0,0.0,690.0,0.0,0.0,0.0,5.0,0.0,125.0,0.0,0.0,5.0,0.0,135.0,25.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,10.0,20.0,1095.0,0.0,5.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Humbermede,0.0,0.0,445.0,90.0,10.0,0.0,0.0,20.0,145.0,10.0,80.0,0.0,770.0,0.0,635.0,0.0,0.0,10.0,205.0,0.0,0.0,0.0,65.0,0.0,0.0,35.0,0.0,0.0,10.0,5.0,175.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,255.0,0.0,0.0,45.0,10.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,285.0,10.0,0.0,35.0,6365.0,25.0,680.0,15.0,0.0,0.0,0.0,0.0,65.0,20.0,0.0,0.0,10.0,10.0,0.0,35.0,40.0,0.0,20.0,250.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,105.0,0.0,30.0,0.0,45.0,75.0,2130.0,5395.0,2200.0,0.0,5.0,0.0,60.0,0.0,1025.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,75.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,35.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,15540.0,745.0,10.0,320.0,5.0,0.0,8365.0,8365.0,0.0,0.0,0.0,0.0,0.0,6425.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,30.0,35.0,60.0,160.0,715.0,0.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,14790.0,0.0,260.0,0.0,0.0,200.0,0.0,5.0,60.0,0.0,0.0,1690.0,0.0,0.0,0.0,5.0,0.0,510.0,0.0,0.0,30.0,0.0,255.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,60.0,65.0,0.0,15.0,35.0,980.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Humewood-Cedarvale,5.0,0.0,190.0,5.0,15.0,0.0,5.0,15.0,45.0,5.0,5.0,0.0,30.0,0.0,1010.0,0.0,0.0,10.0,385.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,110.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,200.0,0.0,5.0,10.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,9605.0,60.0,385.0,10.0,10.0,0.0,0.0,0.0,240.0,20.0,0.0,0.0,0.0,0.0,0.0,65.0,145.0,0.0,180.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,90.0,0.0,10.0,25.0,0.0,125.0,0.0,0.0,95.0,105.0,2070.0,165.0,0.0,0.0,0.0,65.0,0.0,300.0,1165.0,60.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,125.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,15.0,65.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,14235.0,475.0,10.0,15.0,0.0,0.0,3910.0,3920.0,0.0,0.0,0.0,0.0,0.0,9850.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,55.0,75.0,265.0,10.0,0.0,50.0,0.0,160.0,0.0,0.0,5.0,0.0,185.0,35.0,5.0,5.0,0.0,0.0,0.0,0.0,13765.0,10.0,205.0,0.0,0.0,380.0,10.0,10.0,5.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,10.0,855.0,0.0,0.0,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,15.0,0.0,45.0,145.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Ionview,5.0,5.0,390.0,15.0,15.0,5.0,0.0,105.0,170.0,40.0,0.0,0.0,55.0,0.0,1515.0,0.0,0.0,5.0,255.0,0.0,0.0,0.0,335.0,5.0,10.0,5.0,0.0,0.0,35.0,15.0,290.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,565.0,0.0,0.0,55.0,5.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1310.0,10.0,5.0,5.0,6460.0,25.0,735.0,15.0,5.0,0.0,0.0,5.0,110.0,25.0,0.0,0.0,0.0,10.0,0.0,45.0,65.0,0.0,270.0,70.0,0.0,0.0,0.0,5.0,20.0,0.0,15.0,0.0,0.0,30.0,165.0,0.0,40.0,0.0,0.0,80.0,1055.0,2150.0,1175.0,0.0,0.0,0.0,115.0,0.0,125.0,325.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,10.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,75.0,0.0,10.0,50.0,0.0,205.0,35.0,0.0,5.0,15.0,0.0,0.0,0.0,13610.0,810.0,110.0,50.0,0.0,0.0,6230.0,6235.0,0.0,0.0,0.0,0.0,0.0,6575.0,0.0,0.0,0.0,20.0,0.0,15.0,5.0,25.0,85.0,55.0,45.0,35.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,360.0,25.0,0.0,0.0,0.0,0.0,0.0,15.0,12815.0,25.0,595.0,0.0,0.0,255.0,10.0,10.0,25.0,0.0,0.0,145.0,0.0,0.0,0.0,10.0,0.0,1280.0,0.0,0.0,5.0,0.0,965.0,285.0,5.0,0.0,15.0,35.0,80.0,0.0,0.0,0.0,30.0,30.0,0.0,10.0,35.0,245.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
Islington-City Centre West,0.0,10.0,1420.0,70.0,355.0,0.0,10.0,65.0,665.0,45.0,20.0,0.0,265.0,0.0,1080.0,5.0,0.0,235.0,6370.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,120.0,85.0,15.0,460.0,0.0,5.0,0.0,30.0,5.0,0.0,0.0,1300.0,0.0,0.0,40.0,355.0,545.0,75.0,0.0,0.0,0.0,0.0,0.0,410.0,45.0,5.0,5.0,21280.0,120.0,1435.0,35.0,10.0,0.0,0.0,20.0,605.0,40.0,0.0,0.0,0.0,5.0,10.0,285.0,365.0,0.0,265.0,145.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,25.0,260.0,0.0,205.0,0.0,5.0,75.0,1380.0,12900.0,1765.0,0.0,0.0,0.0,360.0,0.0,1095.0,3735.0,125.0,0.0,25.0,10.0,5.0,0.0,0.0,5.0,5.0,10.0,1480.0,15.0,0.0,0.0,5.0,50.0,0.0,0.0,195.0,100.0,0.0,20.0,80.0,65.0,695.0,30.0,0.0,0.0,35.0,0.0,5.0,5.0,43420.0,1625.0,65.0,180.0,0.0,0.0,19895.0,19890.0,0.0,0.0,0.0,0.0,0.0,21900.0,0.0,0.0,0.0,5.0,15.0,5.0,10.0,20.0,325.0,1405.0,1090.0,155.0,0.0,195.0,0.0,1005.0,0.0,0.0,0.0,0.0,865.0,1080.0,95.0,10.0,0.0,0.0,5.0,5.0,41790.0,20.0,1510.0,0.0,0.0,6140.0,125.0,100.0,520.0,0.0,0.0,1355.0,0.0,0.0,0.0,10.0,15.0,905.0,0.0,0.0,30.0,0.0,210.0,80.0,25.0,0.0,175.0,200.0,65.0,0.0,0.0,0.0,210.0,150.0,0.0,1595.0,225.0,370.0,40.0,10.0,260.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
Junction Area,5.0,5.0,245.0,0.0,45.0,5.0,0.0,5.0,45.0,5.0,0.0,0.0,355.0,0.0,315.0,0.0,0.0,50.0,735.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,260.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,490.0,0.0,0.0,5.0,40.0,15.0,25.0,0.0,5.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,9060.0,65.0,360.0,10.0,5.0,0.0,0.0,0.0,210.0,15.0,0.0,0.0,0.0,0.0,10.0,90.0,120.0,0.0,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,40.0,0.0,30.0,0.0,0.0,25.0,185.0,2575.0,200.0,0.0,0.0,0.0,15.0,0.0,180.0,1315.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,5.0,0.0,65.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,25.0,5.0,0.0,5.0,0.0,150.0,170.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,14090.0,455.0,15.0,15.0,0.0,0.0,4365.0,4370.0,0.0,0.0,0.0,0.0,0.0,9275.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,15.0,240.0,685.0,40.0,0.0,25.0,0.0,115.0,0.0,0.0,0.0,0.0,235.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,13640.0,15.0,620.0,0.0,0.0,685.0,20.0,5.0,15.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,5.0,260.0,0.0,0.0,15.0,0.0,15.0,0.0,10.0,0.0,130.0,135.0,25.0,0.0,0.0,0.0,20.0,20.0,0.0,150.0,50.0,20.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Keelesdale-Eglinton West,5.0,0.0,110.0,0.0,10.0,5.0,0.0,25.0,25.0,0.0,0.0,0.0,245.0,0.0,510.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,135.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,205.0,0.0,0.0,15.0,10.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,4150.0,20.0,460.0,5.0,0.0,0.0,0.0,0.0,90.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,45.0,105.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.0,75.0,0.0,35.0,0.0,0.0,40.0,335.0,5005.0,345.0,0.0,0.0,0.0,5.0,0.0,640.0,4455.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,50.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,11040.0,490.0,5.0,30.0,0.0,0.0,6305.0,6305.0,0.0,0.0,0.0,0.0,0.0,4240.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,40.0,3000.0,30.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,90.0,10.0,5.0,5.0,0.0,10.0,0.0,0.0,10550.0,5.0,210.0,0.0,0.0,125.0,5.0,5.0,20.0,0.0,0.0,795.0,0.0,0.0,0.0,10.0,0.0,420.0,0.0,0.0,5.0,0.0,60.0,0.0,5.0,0.0,10.0,15.0,30.0,0.0,0.0,0.0,35.0,40.0,0.0,5.0,35.0,80.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy Park,0.0,0.0,570.0,20.0,20.0,0.0,0.0,160.0,155.0,10.0,0.0,0.0,105.0,0.0,1665.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,570.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,965.0,0.0,0.0,25.0,5.0,125.0,5.0,0.0,5.0,0.0,0.0,0.0,975.0,20.0,0.0,5.0,8220.0,40.0,765.0,10.0,10.0,0.0,0.0,15.0,155.0,25.0,0.0,5.0,0.0,0.0,0.0,55.0,75.0,0.0,310.0,50.0,0.0,0.0,0.0,0.0,35.0,0.0,50.0,0.0,0.0,30.0,80.0,0.0,30.0,0.0,5.0,100.0,1750.0,3285.0,1980.0,0.0,0.0,0.0,230.0,0.0,265.0,565.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,160.0,0.0,5.0,85.0,5.0,280.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0,17105.0,830.0,55.0,75.0,5.0,0.0,7885.0,7885.0,0.0,0.0,0.0,0.0,0.0,8375.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,25.0,190.0,45.0,80.0,60.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,445.0,30.0,0.0,0.0,0.0,15.0,5.0,15.0,16265.0,70.0,1000.0,0.0,0.0,330.0,0.0,5.0,105.0,0.0,0.0,195.0,0.0,0.0,0.0,20.0,0.0,1410.0,0.0,0.0,0.0,0.0,845.0,30.0,0.0,0.0,25.0,35.0,65.0,0.0,0.0,0.0,30.0,35.0,0.0,15.0,50.0,225.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
Kensington-Chinatown,0.0,0.0,400.0,0.0,20.0,5.0,0.0,35.0,215.0,5.0,0.0,0.0,340.0,0.0,290.0,0.0,0.0,5.0,385.0,0.0,0.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2310.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5170.0,0.0,0.0,10.0,25.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,70.0,25.0,0.0,0.0,8210.0,70.0,390.0,25.0,0.0,0.0,10.0,5.0,320.0,30.0,0.0,0.0,0.0,5.0,0.0,70.0,115.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,35.0,0.0,5.0,60.0,0.0,20.0,0.0,0.0,10.0,295.0,1755.0,465.0,0.0,5.0,0.0,160.0,0.0,60.0,750.0,100.0,5.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,255.0,5.0,0.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,0.0,35.0,10.0,0.0,2415.0,5.0,0.0,50.0,140.0,0.0,0.0,0.0,17585.0,490.0,5.0,35.0,5.0,0.0,8560.0,8565.0,0.0,0.0,0.0,0.0,0.0,8530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,150.0,90.0,305.0,35.0,0.0,40.0,0.0,120.0,0.0,0.0,0.0,0.0,310.0,25.0,15.0,0.0,0.0,0.0,0.0,5.0,17085.0,5.0,5185.0,0.0,0.0,370.0,15.0,0.0,90.0,0.0,0.0,325.0,0.0,0.0,0.0,5.0,5.0,235.0,0.0,0.0,30.0,0.0,35.0,15.0,25.0,0.0,10.0,20.0,5.0,0.0,0.0,0.0,30.0,20.0,0.0,35.0,30.0,80.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,10.0
