neighbourhood,crime_type,year,population,crime_count,crime_rate
Bathurst Manor,Robbery,2017,16666,14,84.00336
Bathurst Manor,Robbery,2018,16982,10,58.88588000000001
Bathurst Manor,Robbery,2019,17309,18,103.9921
Bathurst Manor,Robbery,2020,17628,8,45.38235
Bathurst Manor,Shootings,2014,16182,0,0.0
Bathurst Manor,Shootings,2015,16237,0,0.0
Bathurst Manor,Shootings,2016,16354,0,0.0
Bathurst Manor,Shootings,2017,16666,0,0.0
Bathurst Manor,Shootings,2018,16982,0,0.0
Bathurst Manor,Shootings,2019,17309,0,0.0
Bathurst Manor,Shootings,2020,17628,0,0.0
Bathurst Manor,Theft Over,2014,16182,2,12.35941
Bathurst Manor,Theft Over,2015,16237,2,12.31755
Bathurst Manor,Theft Over,2016,16354,4,24.45885
Bathurst Manor,Theft Over,2017,16666,5,30.0012
Bathurst Manor,Theft Over,2018,16982,3,17.665760000000002
Bathurst Manor,Theft Over,2019,17309,5,28.886709999999997
Bathurst Manor,Theft Over,2020,17628,7,39.70955
Bay Street Corridor,Assault,2014,24379,522,2141.187
Bay Street Corridor,Assault,2015,25640,666,2597.504
Bay Street Corridor,Assault,2016,27031,659,2437.942
Bay Street Corridor,Assault,2017,28409,801,2819.5290000000005
Bay Street Corridor,Assault,2018,29859,765,2562.042
Bay Street Corridor,Assault,2019,31303,894,2855.9559999999997
Bay Street Corridor,Assault,2020,32790,516,1573.651
Bay Street Corridor,Auto Theft,2014,24379,20,82.03782
Bay Street Corridor,Auto Theft,2015,25640,26,101.4041
Bay Street Corridor,Auto Theft,2016,27031,26,96.18586
Bay Street Corridor,Auto Theft,2017,28409,24,84.48026999999999
Bay Street Corridor,Auto Theft,2018,29859,42,140.6611
Bay Street Corridor,Auto Theft,2019,31303,53,169.3129
Bay Street Corridor,Auto Theft,2020,32790,25,76.24276
Bay Street Corridor,Burglary,2014,24379,96,393.7815
Bay Street Corridor,Burglary,2015,25640,160,624.025
Bay Street Corridor,Burglary,2016,27031,121,447.6342
Bay Street Corridor,Burglary,2017,28409,179,630.082
Bay Street Corridor,Burglary,2018,29859,170,569.3426
Bay Street Corridor,Burglary,2019,31303,201,642.111
Bay Street Corridor,Burglary,2020,32790,227,692.2842
Bay Street Corridor,Homicide,2014,24379,1,4.10189097173797
Bay Street Corridor,Homicide,2015,25640,4,15.60062
Bay Street Corridor,Homicide,2016,27031,1,3.699456
Bay Street Corridor,Homicide,2017,28409,0,0.0
Bay Street Corridor,Homicide,2018,29859,3,13.3963
Bay Street Corridor,Homicide,2019,31303,4,12.77833
Bay Street Corridor,Homicide,2020,32790,1,3.0497099999999997
Bay Street Corridor,Robbery,2014,24379,85,348.6607
Bay Street Corridor,Robbery,2016,27031,101,373.6451
Bay Street Corridor,Robbery,2017,28409,122,429.4414
Bay Street Corridor,Robbery,2018,29859,127,425.3324
Bay Street Corridor,Robbery,2019,31303,118,376.9607
Bay Street Corridor,Robbery,2020,32790,82,250.0762
Bay Street Corridor,Shootings,2014,24379,1,4.101891
Bay Street Corridor,Shootings,2015,25640,5,19.50078
Bay Street Corridor,Shootings,2016,27031,2,7.398911999999999
Bay Street Corridor,Shootings,2017,28409,3,10.56003
Bay Street Corridor,Shootings,2018,29859,6,20.09444
Bay Street Corridor,Shootings,2019,31303,6,19.16749
Bay Street Corridor,Shootings,2020,32790,5,15.24855
Bay Street Corridor,Theft Over,2014,24379,53,217.4002
Bay Street Corridor,Theft Over,2015,25640,43,167.7067
Bay Street Corridor,Theft Over,2016,27031,40,147.9782
Bay Street Corridor,Theft Over,2017,28409,48,168.9605
Bay Street Corridor,Theft Over,2018,29859,53,177.5009
Bay Street Corridor,Theft Over,2019,31303,74,236.3991
Bay Street Corridor,Theft Over,2020,32790,43,131.1375
Bayview Village,Assault,2014,20646,83,402.0149
Bayview Village,Assault,2015,21355,107,501.0536
Bayview Village,Assault,2016,22165,78,351.9062
Bayview Village,Assault,2017,22798,58,254.4083
Bayview Village,Assault,2018,23462,59,251.4705
Bayview Village,Assault,2019,24122,67,277.7548
Bayview Village,Assault,2020,24799,69,278.237
Bayview Village,Auto Theft,2014,20646,25,121.0888
Bayview Village,Auto Theft,2015,21355,13,60.87566999999999
Bayview Village,Auto Theft,2016,22165,14,63.16264
Bayview Village,Auto Theft,2017,22798,21,92.11334
Bayview Village,Auto Theft,2018,23462,9,38.3599
Bayview Village,Auto Theft,2019,24122,38,157.5325
Bayview Village,Auto Theft,2020,24799,28,112.9078
Bayview Village,Burglary,2014,20646,47,227.647
Bayview Village,Burglary,2015,21355,34,159.2133
Bayview Village,Burglary,2016,22165,33,148.8834
Bayview Village,Burglary,2017,22798,40,175.454
Bayview Village,Burglary,2018,23462,50,213.1106
Bayview Village,Burglary,2019,24122,37,153.3869
Bayview Village,Burglary,2020,24799,30,120.9726
Bayview Village,Homicide,2014,20646,0,0.0
Bayview Village,Homicide,2015,21355,0,0.0
Bayview Village,Homicide,2016,22165,0,0.0
Bayview Village,Homicide,2017,22798,0,0.0
Bayview Village,Homicide,2018,23462,1,0.0
Bayview Village,Homicide,2019,24122,0,0.0
Bayview Village,Homicide,2020,24799,1,4.032421
Bayview Village,Robbery,2014,20646,3,14.53066
Bayview Village,Robbery,2016,22165,11,49.627790000000005
Bayview Village,Robbery,2017,22798,8,35.0908
Bayview Village,Robbery,2018,23462,5,21.31106
Bayview Village,Robbery,2019,24122,15,62.1839
Bayview Village,Robbery,2020,24799,18,72.58357
Bayview Village,Shootings,2014,20646,0,0.0
Bayview Village,Shootings,2015,21355,1,4.6827440000000005
Bayview Village,Shootings,2016,22165,0,0.0
Bayview Village,Shootings,2017,22798,0,0.0
Bayview Village,Shootings,2018,23462,1,4.262211
Bayview Village,Shootings,2019,24122,1,4.145593
Bayview Village,Shootings,2020,24799,1,4.032421
Bayview Village,Theft Over,2014,20646,8,38.74842
Bayview Village,Theft Over,2015,21355,8,37.46195
Bayview Village,Theft Over,2016,22165,5,22.55809
Bayview Village,Theft Over,2017,22798,7,30.70445
